Workout #,Date,Workout Name,Duration (sec),Exercise Name,Set Order,Weight (kg),Reps,RPE,Distance (meters),Seconds,Notes,Workout Notes
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Machine),W,35.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Machine),W,45.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Machine),1,55.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Machine),2,55.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Machine),3,60.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Machine),1,15.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Machine),2,15.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Machine),3,20.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Cable),W,25.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Cable),1,35.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Cable),2,40.0,12,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Lat Pulldown (Cable),F,45.0,9,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Dumbbell),Note,,,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Dumbbell),1,5.0,10,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Dumbbell),2,5.0,9,,,,,
1,25-02-2023 22:08,Evening Workout,3789,Bicep Curl (Dumbbell),3,5.0,8,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Chest Press (Machine),W,30.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Chest Press (Machine),W,30.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Chest Press (Machine),1,45.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Chest Press (Machine),2,45.0,9,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Triceps Pushdown (Cable - Straight Bar),1,17.5,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Triceps Pushdown (Cable - Straight Bar),2,17.5,10,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Triceps Pushdown (Cable - Straight Bar),3,17.5,6,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Triceps Pushdown (Cable - Straight Bar),4,0.0,0,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Lateral Raise (Dumbbell),1,10.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Lateral Raise (Dumbbell),2,10.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Lateral Raise (Dumbbell),3,10.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Overhead Press (Dumbbell),1,14.0,9,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Overhead Press (Dumbbell),2,14.0,8,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Overhead Press (Dumbbell),3,14.0,7,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Incline Chest Press (Machine),1,25.0,12,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Incline Chest Press (Machine),2,25.0,10,,,,,
2,02-03-2023 20:54,Evening Workout,4468,Incline Chest Press (Machine),F,25.0,6,,,,,
3,06-03-2023 21:53,Evening Workout,5356,Lat Pulldown (Machine),W,35.0,12,,,,,
3,06-03-2023 21:53,Evening Workout,5356,Lat Pulldown (Machine),W,45.0,12,,,,,
3,06-03-2023 21:53,Evening Workout,5356,Lat Pulldown (Machine),1,65.0,12,,,,,
3,06-03-2023 21:53,Evening Workout,5356,Lat Pulldown (Machine),2,65.0,12,,,,,
3,06-03-2023 21:53,Evening Workout,5356,Lat Pulldown (Machine),3,65.0,12,,,,,
